	Tue Dec  5 18:42 2017 Time and Allocation Profiling Report  (Final)

	   profilingTest +RTS -hc -p -RTS

	total time  =      833.48 secs   (833479 ticks @ 1000 us, 1 processor)
	total alloc = 1,818,976,847,608 bytes  (excludes profiling overheads)

COST CENTRE                  MODULE    SRC                             %time %alloc

calculateZ                   NeuralNet NeuralNet.hs:(210,1)-(211,87)    28.6   15.5
derivateNeuronWeightsandBias NeuralNet NeuralNet.hs:(161,1)-(162,144)   22.7   27.3
averageHelper                NeuralNet NeuralNet.hs:(262,1)-(263,73)    19.3   17.0
separateFronts               NeuralNet NeuralNet.hs:215:1-40            18.9   32.9
derivateNeuronActivation     NeuralNet NeuralNet.hs:(156,1)-(157,141)    6.8    3.9
updateAttribute              NeuralNet NeuralNet.hs:102:1-81             1.2    0.4


                                                                                                                 individual      inherited
COST CENTRE                            MODULE                  SRC                            no.     entries  %time %alloc   %time %alloc

      mapReverseHelper                 NeuralNet               NeuralNet.hs:(295,1)-(296,66)  332       3000    0.0    0.0     0.0    0.0
       getLayerWeights                 NeuralNet               NeuralNet.hs:29:1-52           366       2000    0.0    0.0     0.0    0.0
        getNeuronWeights               NeuralNet               NeuralNet.hs:19:1-35           372     138000    0.0    0.0     0.0    0.0
   train.splitInputs                   NeuralNet               NeuralNet.hs:77:54-90          298          1    0.0    0.0     0.0    0.0
    splitInto                          NeuralNet               NeuralNet.hs:268:1-60          299          1    0.0    0.0     0.0    0.0
     splitIntoHelper                   NeuralNet               NeuralNet.hs:(271,1)-(273,101) 300        525    0.0    0.0     0.0    0.0
     blankList                         NeuralNet               NeuralNet.hs:(277,1)-(278,34)  301         21    0.0    0.0     0.0    0.0
   train.splitOutputs                  NeuralNet               NeuralNet.hs:78:54-92          302          1    0.0    0.0     0.0    0.0
    splitInto                          NeuralNet               NeuralNet.hs:268:1-60          303          1    0.0    0.0     0.0    0.0
     splitIntoHelper                   NeuralNet               NeuralNet.hs:(271,1)-(273,101) 304        525    0.0    0.0     0.0    0.0
